transactionId;partner;totalValue
96567296;Sociomantic;84.81
96564496;Criteo;194.8
96562496;Criteo;74.81
96562296;Criteo;219.9
96558296;Sociomantic;159.9
96552496;Criteo;116.6
96545296;Criteo;139.9
96539496;Criteo;259.73
96534496;Triggit;48.73
96533496;Criteo;289.9
96522296;Criteo;219.9
96511496;Mainadv;229.9
96499296;Vizury;184.9
96497496;Triggit;74.81
96488296;Criteo;38.73
96482496;Criteo;229.89
96469296;Zanox;334.63
96468296;Zanox;129.9
96464296;Criteo;192.83
96463496;Criteo;65.81
96462296;Criteo;209.9
96459296;Triggit;99.9
96453496;Vizury;84.81
96452496;Criteo;64.81
96447296;Mainadv;179.9
96445496;Criteo;138.73
96445296;Criteo;607.3
96438296;Criteo;169.9
96431496;Criteo;139.84
96419496;Triggit;328.9
96418496;Criteo;119.7
96417496;Criteo;113.7
96417296;Criteo;105.71
96394496;Criteo;107.8
96379496;Triggit;359.8
96372496;Criteo;757.8
96364496;Criteo;143.8
96356296;Criteo;3773.63
96351496;Triggit;152.8
96347496;Criteo;161.8
96343496;Mainadv;130.2
96333366;Sociomantic;91.73
96327496;Triggit;81.73
96299496;Triggit;79.73
96299296;Criteo;194.7
96296296;Triggit;99.9
96294496;Criteo;99.9
96288496;Criteo;438.0
96282296;Criteo;1418.6
96277296;Criteo;208.9
96275496;Criteo;74.81
96264496;Criteo;124.9
96258496;Criteo;449.3
96249296;Criteo;129.9
96242296;Criteo;299.8
96217496;Criteo;265.0
96216496;Criteo;119.9
96199496;Triggit;81.47
96194296;Criteo;249.9
96186496;Criteo;209.9
96177296;Sociomantic;189.9
96167296;Criteo;127.8
96156296;Triggit;86.05
96144496;Criteo;774.5
96128296;Criteo;649.0
96126496;Criteo;149.9
96125296;Criteo;74.81
96111496;Triggit;159.9
95996496;Criteo;189.9
95974496;Criteo;149.9
95964296;Criteo;229.9
95963496;Criteo;109.9
95961496;Criteo;122.73
95957496;Criteo;2930.1
95957296;Criteo;199.9
95951496;Criteo;473.3
95948296;Triggit;149.9
95945296;Criteo;37.73
95923496;Criteo;149.9
95912296;Sociomantic;254.83
95894496;Triggit;109.7
95888496;Criteo;38.81
95884296;Criteo;89.73
95876296;Criteo;104.77
95875296;Criteo;104.95
95869496;Criteo;144.95
95868496;Triggit;84.81
95868296;Criteo;159.6
95867296;Criteo;169.8
95866296;Vizury;199.9
95865496;Criteo;149.9
95859496;Criteo;149.9
95858296;Vizury;249.0
95854496;Criteo;74.81
95854296;Triggit;144.95
95835496;Criteo;109.8
95818496;Criteo;199.9
95794296;Criteo;178.8
95786296;Criteo;479.8
95784496;Criteo;199.8
95776496;Criteo;76.81
95775496;Triggit;149.9
95765296;Criteo;189.8
95763496;Criteo;272.8
95755496;Triggit;218.7
95754496;Criteo;49.81
95728296;Triggit;129.9
95695296;Criteo;129.8
95684496;Criteo;475.0
95679496;Triggit;139.9
95679296;Criteo;140.63
95675496;Criteo;259.8
95654296;Criteo;233.8
95653366;Criteo;84.81
95649496;Criteo;459.9
95647496;Criteo;144.9
95643496;Criteo;369.9
95636296;Criteo;219.9
95629496;Criteo;329.8
95629296;Criteo;36.81
95624296;Criteo;179.9
95622296;Triggit;159.9
95615496;Triggit;119.9
95614496;Criteo;21.9
95594296;Criteo;110.8
95586296;Triggit;1106.53
95584496;Criteo;99.9
95576496;Criteo;153.8
95573366;Criteo;129.9
95566496;Criteo;161.8
95566296;Criteo;99.71
95558296;Criteo;94.81
95553496;Criteo;119.0
95553366;Criteo;239.8
95549296;Criteo;119.9
95546296;Triggit;159.9
95544296;Criteo;244.9
95535496;Criteo;189.9
95529496;Triggit;845.35
95527296;Triggit;136.8
95524296;Criteo;360.33
95517496;Criteo;54.9
95514296;Triggit;187.8
95513496;Criteo;77.81
95513366;Criteo;479.63
95512496;Triggit;232.0
95499496;Criteo;77.81
95497296;Criteo;64.81
95493496;Criteo;199.0
95489296;Criteo;96.83
95485496;Criteo;74.81
95479496;Criteo;79.73
95465496;Criteo;148.59
95462496;Triggit;229.8
95453366;Criteo;119.9
95447296;Criteo;88.8
95436496;Criteo;90.73
95435496;Triggit;159.9
95434496;Criteo;88.52
95399496;Criteo;128.73
95393496;Criteo;119.9
95391496;Criteo;139.9
95386296;Triggit;84.81
95382496;Triggit;109.79
95379496;Criteo;109.9
